Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL
Kallang Trivista,15 - 45 years,Keys available,1,,,1.31234447247543,103.869898299245,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzIzQl8xNzY5NDA5MDAwMTc5
Whampoa Court,47 years,Keys available,,1,,1.32471579654689,103.857752875203,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzJfMTc2ODgxMTQwMDA2NA
Whampoa Dew,15 - 45 years,Keys available,3,,,1.32487617789478,103.855541044499,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX043QzEwXzE3Njk0MDkwMDAwODE
Mcnair Towers,15 - 45 years,Keys available,2,,,1.32118140104797,103.860568176564,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzIwQ18xNzY5NDA5MDAwMDg3
Whampoa View,47 years,Keys available,,1,1,1.3207995912383,103.853327785421,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX043QzNfMTc2ODgxMTQwMDA2MQ
Boon Keng Ville,49 years,Keys available,,1,1,1.31543175817283,103.871651573593,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzJfMTc2ODgxMTQwMDAyOQ
Whampoa Vista,61 years,Keys available,,,1,1.32574105577942,103.858108254641,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzlfMTc2ODgxMTQwMDAyNw
Kent Heights,15 - 99 years,4Q/2026,2,,,1.31704477678257,103.850769684392,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04xQzU5XzE3Njg4MTE0MDAwNDE
Kallang Breeze,97 years,Keys available,,1,,1.31463397675932,103.87389201137,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzU3XzE3Njg4MTE0MDAwNTU
Kallang View - Plus,99 years,1Q/2029,,38,12,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzY5XzE3Njg4MTE0MDAwMzE
Tenteram Peak,91 years,Keys available,,,1,1.3282335842715,103.861138402914,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzI4Ql8xNzY4ODExNDAwMDYw
Rajah Summit,99 years,2Q/2028,,,4,1.32824227036472,103.852457398036,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzU0XzE3Njg4MTE0MDAwNzk
Tenteram Vantage,99 years,2Q/2028,,,9,1.32887598357228,103.860385295701,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzcyXzE3Njg4MTE0MDAwNjI
Towner Breeze - Plus,15 - 99 years,2Q/2029,2,,9,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzcwXzE3Njg4MTE0MDAwMjQ
Rajah Residences,15 - 99 years,4Q/2028,2,,4,1.3273998887268,103.854343450016,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzUzXzE3Njg4MTE0MDAwMjY
Farrer Park Fields - Prime,15 - 99 years,2Q/2028,30,14,98,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04xQzQ1QV8xNzY4ODExNDAwMDQ2
Verandah @ Kallang - Prime,15 - 99 years,1Q/2028,14,11,72,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzc0XzE3Njg4MTE0MDAwMTg
Farrer Park Arena - Prime,99 years,4Q/2027,,33,52,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04xQzQ2XzE3Njg4MTE0MDAwNTc
Towner Residences,99 years,4Q/2026,,,3,1.32082937648639,103.856916171104,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzUyXzE3Njg4MTE0MDAwNjM
Tanjong Rhu Riverfront I & II - Prime,15 - 99 years,2Q/2029,42,9,25,1.30058712235481,103.881442536598,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX044QzYwXzE3Njg4MTE0MDAwNjc
King George's Heights - Prime,99 years,3Q/2027,,14,45,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04yQzM2XzE3Njg4MTE0MDAwMzU
Kallang Horizon - Prime,99 years,1Q/2028,,8,37,,,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzIzQV8xNzY4ODExNDAwMDM5
Mcnair Heights,15 - 99 years,1Q/2026 to 2Q/2026,1,,3,1.31795000618331,103.857365148361,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzU1XzE3Njg4MTE0MDAwMzc
Kempas Residences,15 - 99 years,Keys available,1,5,3,1.31648901569608,103.859664747794,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzU4XzE3Njg4MTE0MDAwODI
Towner Crest,98 years,Keys available,,5,4,1.31826331894276,103.859962192176,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzQzXzE3Njg4MTE0MDAwNzg
