Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL
Golden Tulip,15 - 45 years,Keys available,4.0,,,1.28405665902905,103.821065058206,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZSQzQ4XzE3Njk0MTk4MDAxMTM
Depot Heights,15 - 45 years,Keys available,2.0,,,1.28175927117793,103.806862236642,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMTlDXzE3Njk0MTk4MDAwOTk
Telok Blangah Towers,15 - 45 years,Keys available,1.0,,,1.27349435644809,103.807229362471,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMzlfMTc2OTQxOTgwMDExMQ
Telok Blangah Way,50 years,Keys available,,1.0,,1.27684949862022,103.818286553042,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjJDMl8xNzY4NTI3MDAwMDA1
Brickworks Estate,41 years,Keys available,,1.0,,1.2866292132996,103.80686187976,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjhDNl8xNzY4NTI3MDAwMDc2
The Beo Crescent,43 years,Keys available,,1.0,,1.28807687600985,103.82708127923,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVDN18xNzY4NTI3MDAwMDU1
Telok Blangah Cres,49 years,Keys available,,1.0,,1.27736813225761,103.818651524334,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjJDNEFfMTc2ODUyNzAwMDA2Nw
Tiong Bahru View,15 - 45 years,Keys available,2.0,,,1.2868271524179,103.828659487514,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVSMzdCXzE3Njk0MTk4MDAwODI
Blangah View,51 years,Keys available,,1.0,,1.27309040956353,103.810143564301,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDNF8xNzY4NTI3MDAwMDg5
Jln Bt Merah,55 years,Keys available,,1.0,,1.28441925029097,103.814960183751,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjNDNV8xNzY4NTI3MDAwMDUz
Bukit Purmei Ville,58 years,Keys available,,1.0,,1.27380415706758,103.827057699596,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjNDM18xNzY4NTI3MDAwMDY2
City Vue @Henderson,15 - 93 years,Keys available,1.0,,,1.28649254110004,103.82143358771,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZSQzUzXzE3Njg4MDc4MDAwNTM
Everton Park,54 years,Keys available,,1.0,,1.27742654288695,103.840001188095,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjBDMF8xNzY4NTI3MDAwMTAx
Rumah Tinggi View,71 years,Keys available,,,1.0,1.28863365915922,103.809643901495,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjhSQzI4XzE3Njg1MjcwMDAwOTM
Telok Blangah Beacon,99 years,1Q/2027,,1.0,,1.27321995105112,103.808261964715,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMzlCXzE3Njg1NDUwMDAwMjI
Havelock View,87 years,Keys available,,2.0,,1.29006686277944,103.829245853053,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVSQzIzXzE3Njg1MjcwMDAxMDQ
Alexandra Peaks - Prime,15 - 99 years,2Q/2029,7.0,67.0,138.0,1.29166487080738,103.820640705322,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjdDNTRfMTc2ODUyNzAwMDAxMg
Alexandra Vale - Prime,99 years,2Q/2028,,27.0,86.0,1.28960133225885,103.818276680258,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjdDNTdfMTc2ODUyNzAwMDA2MA
Bukit Merah Ridge - Prime,99 years,1Q/2028,,125.0,202.0,1.28641953518599,103.823994558274,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZDNThfMTc2ODUyNzAwMDAzMw
Havelock Hillside - Prime,99 years,4Q/2028,,33.0,100.0,1.28901860835749,103.831440994912,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVDNTFfMTc2ODUyNzAwMDA4MQ
