Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Commonwealth View,15 - 45 years,Keys available,1.0,,,,1.30072792288033,103.799417284922,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjRSQzI2XzE3Njk0ODEwMDAxNDI
Ghim Moh Edge,15 - 45 years,Keys available,2.0,,,,1.30869473784381,103.784048768238,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZSMjVBXzE3Njk0ODEwMDAxNjE
Strathmore Green,15 - 45 years,Keys available,2.0,,,,1.29423642591379,103.812035249623,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjFSQzE3XzE3Njk0ODEwMDAxMDM
Skyterrace @ Dawson,15 - 45 years,Keys available,3.0,,,,1.29512086158743,103.81115001607,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjFDMl8xNzY5NDgxMDAwMTIy
Ghim Moh Gardens,51 years,Keys available,,1.0,,,1.30932882169755,103.784354189521,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDNF8xNzY4ODA3ODAwMDYz
Holland Vista,48 years,Keys available,,1.0,,,1.30905394546184,103.794063120888,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDMl8xNzY4ODA3ODAwMDQ5
Ghim Moh Valley,15 - 87 years,Keys available,2.0,,,,1.30935676342126,103.785489714945,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZSQzI1XzE3Njg4ODM0MDAwNjk
Holland Cl (1),48 years,Keys available,,2.0,1.0,,1.30764996826798,103.795584896097,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDMV8xNzY4ODA3ODAwMDE1
Holland Cl (2),48 years,Keys available,,,,1.0,1.30764996826798,103.795584896097,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDNV8xNzY4ODA3ODAwMDkx
Tanglin Halt Cascadia - Prime,99 years,1Q/2029,,93.0,181.0,,1.30163123909487,103.795387142787,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjRDMV8xNzY4ODA3ODAwMDg2
Ulu Pandan Glades - Prime,99 years,2Q/2029,,67.0,101.0,,1.31001761046554,103.783101266877,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjhDMV8xNzY4ODA3ODAwMDM2
Queen's Arc,99 years,3Q/2027,,3.0,3.0,,1.28919156848493,103.801499870492,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjJDMV8xNzY4ODA3ODAwMDYy
Ghim Moh Ascent - Prime,99 years,1Q/2028,,76.0,133.0,,1.31108897751095,103.789838490458,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDOF8xNzY4ODA3ODAwMDEw
Ghim Moh Natura - Prime,15 - 99 years,1Q/2028,4.0,82.0,139.0,,1.30877894086919,103.790177581593,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDOV8xNzY4ODA3ODAwMDU3
Ulu Pandan Vista - Prime,99 years,2Q/2029,,169.0,136.0,,1.31182953718649,103.779754780955,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjhDM18xNzY4ODA3ODAwMDc0
Holland Dr,48 years,Keys available,,,,1.0,1.30982653841948,103.792863045723,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDNl8xNzY4ODA3ODAwMDkw
Queensway Canopy,15 - 99 years,3Q/2028 to 4Q/2028,,1.0,16.0,,1.2892815975358,103.799551519768,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjJDMl8xNzY4ODA3ODAwMDE2
