Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Anchorvale Horizon,15 - 45 years,Keys available,2.0,,,,,1.39609319862488,103.888720918656,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMTlfMTc2OTQ3NzQwMDA4OA
Compassvale Ancilla,15 - 45 years,Keys available,2.0,,,,,1.38541559450444,103.892986078183,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNDBfMTc2OTQ3NzQwMDA4NQ
Fernvale Glades,15 - 96 years,Keys available,1.0,,,,,1.39410542991766,103.870728366216,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMzFfMTc2ODUzMDYwMDA0NQ
Anchorvale Village,15 - 97 years,Keys available,1.0,,,,,1.39679315311901,103.888437344772,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMjlfMTc2ODUzMDYwMDAxOQ
Anchorvale Plains,15 - 95 years,Keys available,1.0,,,,,1.39390663331416,103.884506817902,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMjhBXzE3Njg1MzA2MDAwMjY
Fernvale Flora,15 - 89 years,Keys available,1.0,,,,,1.39353259342993,103.875029902679,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMTJfMTc2ODUzMDYwMDAwMw
Rivervale Gateway,74 years,Keys available,,,,1.0,,1.3934293161425,103.905442121703,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjFDMTlfMTc2ODUzMDYwMDA0Mw
Anchorvale Place,75 years,Keys available,,,,1.0,,1.3891951454752,103.888598523836,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDNF8xNzY4NTMwNjAwMDQy
Compassvale Vista,73 years,Keys available,,,,1.0,,1.38825618618142,103.900017893677,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNl8xNzY4NTMwNjAwMDM5
Compassvale Cape,15 - 91 years,Keys available,1.0,1.0,,,,1.39843751923085,103.895957792826,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNDNBXzE3Njg1MzA2MDAwNDU
Rivervale Shores,15 - 97 years,Keys available,5.0,1.0,,,,1.3864108050086,103.908822177398,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjFDMzBfMTc2ODUzMDYwMDAxMg
Fernvale Vista,86 years,Keys available,,1.0,,,,1.39109783626622,103.875166223525,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDN18xNzY4NTMwNjAwMDM2
Compassvale Boardwalk,90 years,Keys available,,,,1.0,,1.39699193578499,103.895995258683,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNDNCXzE3Njg1MzA2MDAwMzU
Anchorvale Gardens,77 years,Keys available,,,,,1.0,1.39194187989874,103.889018489102,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMTJfMTc2ODUzMDYwMDAyMg
Rivervale Court,73 years,Keys available,,,,,1.0,1.38180761026047,103.900893229708,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjFDMl8xNzY4NTMwNjAwMDE4
Compassvale Plains,73 years,Keys available,,,,,1.0,1.3898678837082,103.898520282397,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDOV8xNzY4NTMwNjAwMDI5
Fernvale Rivergrove,15 - 90 years,Keys available,2.0,,,,1.0,1.39785974876811,103.881232764244,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMjdfMTc2ODUzMDYwMDA0MQ
Fernvale Oasis - Standard,15 - 99 years,2Q/2028,1.0,,,2.0,1.0,1.40020352656839,103.877109122901,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDNDVfMTc2ODU0NTAwMDAyMw
Fernvale Dew,97 years,Keys available,,1.0,,,1.0,1.3897006581849,103.871202528371,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMzlfMTc2ODUzMDYwMDAxNg
Fernvale Vines,15 - 97 years,Keys available,2.0,1.0,1.0,,1.0,1.39814678014706,103.876538391161,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMjJfMTc2ODUzMDYwMDAxNw
Fernvale Gardens,89 years,Keys available,,,,,1.0,1.39318853941818,103.878692030242,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMThfMTc2ODUzMDYwMDAyNw
Anchorvale Cove,89 years,Keys available,,,,,1.0,1.39835828293606,103.889074371303,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMjFfMTc2ODUzMDYwMDAxMw
Fernvale Sails - Standard,15 - 99 years,4Q/2027,2.0,2.0,,1.0,1.0,1.39372731590883,103.879646351658,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDNDlfMTc2ODU0NTAwMDA0Mg
