Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Teck Ghee Vista,15 - 45 years,Keys available,1.0,,,,,1.36402757273373,103.847478724527,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04zUkMxMF8xNzY5NDc3NDAwMDYy,ANG MO KIO MRT STATION,NS16,689.0,1027.0,12.3,12.3
Yio Chu Kang Vista,15 - 45 years,Keys available,1.0,,,,,1.37769118043958,103.84274515222,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzI4XzE3Njk0Nzc0MDAwNTY,YIO CHU KANG MRT STATION,NS15,511.9,737.0,8.8,8.8
Teck Ghee Evergreen,15 - 51 years,Keys available,1.0,,,,,1.36622707120636,103.850085858983,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04zQzNfMTc2ODQ2OTQwMDA5Mg,ANG MO KIO MRT STATION,NS16,407.5,646.0,7.8,7.8
Cheng San Court,15 - 45 years,Keys available,2.0,,,,,1.37093324079314,103.851940766136,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzI2XzE3Njk0Nzc0MDAwNTg,ANG MO KIO MRT STATION,NS16,288.4,575.0,6.9,6.9
Ang Mo Kio Ave 10,54 years,Keys available,,1.0,,,,1.36677040270637,103.856589829581,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzJfMTc2ODQ2OTQwMDA4Ng,ANG MO KIO MRT STATION,NS16,851.4,1078.0,12.9,12.9
Ang Mo Kio 61,54 years,Keys available,,1.0,,,,1.37776263842074,103.843782193293,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzdfMTc2ODQ2OTQwMDEzMA,YIO CHU KANG MRT STATION,NS15,459.9,632.0,7.6,7.6
Cheng San Crest,54 years,Keys available,,1.0,,,,1.37598486077444,103.848860479053,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzIyXzE3Njg0Njk0MDAwOTE,ANG MO KIO MRT STATION,NS16,686.1,823.0,9.9,9.9
Ang Mo Kio Grove,50 years,Keys available,,1.0,,,,1.36511908595886,103.841742478489,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04yQzJfMTc2ODQ2OTQwMDA4NA,MAYFLOWER MRT STATION,TE6,968.6,1280.0,15.4,15.4
Yio Chu Kang Beacon,15 - 99 years,Keys available,1.0,1.0,,,,1.38277531447649,103.842280765072,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzM0XzE3Njg0Njk0MDAxMTY,YIO CHU KANG MRT STATION,NS15,319.9,539.0,6.5,6.5
Pine Ville @ AMK,99 years,3Q/2027,,1.0,,2.0,,1.37718481337389,103.853961804203,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX044QzM4QV8xNzY4NTQ1MDAwMDQ0,ANG MO KIO MRT STATION,NS16,949.3,1466.0,17.6,17.6
Kebun Baru Edge,99 years,Keys available,,,,3.0,1.0,1.36762651708062,103.833861303205,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04yQzMyQV8xNzY4NDY5NDAwMTIx,BRIGHT HILL MRT STATION,TE7,552.5,1684.0,20.2,20.2
Central Weave @ AMK,15 - 99 years,2Q/2028,2.0,,2.0,1.0,,1.37410907646004,103.847102491125,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX043QzMwXzE3Njg0Njk0MDAwMjQ,ANG MO KIO MRT STATION,NS16,547.2,837.0,10.1,10.1
