Project Name,Remaining Lease,Probable Completion,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Balam Gardens,40 years,Keys available,1.0,,1.33048096275076,103.886579205764,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjFDOUFfMTc2ODUzNDIwMDAzNQ,MATTAR MRT STATION,DT25,549.0,867.0,10.4,10.4
Macpherson Garden,42 - 44 years,Keys available,2.0,,1.3252487729987,103.886757553674,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjFDMUEtQzNfMTc2ODUzNDIwMDAzNA,MACPHERSON MRT STATION,DT26,334.9,491.0,5.9,5.9
Sims Vista,51 years,Keys available,1.0,,1.31733721505469,103.878442674183,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjNDNl8xNzY4NTM0MjAwMDE2,ALJUNIED MRT STATION,EW9,521.8,696.0,8.3,8.3
Eunos Cres,51 years,Keys available,,1.0,1.32152520135487,103.903634247689,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjVDNF8xNzY4NTM0MjAwMDQ0,EUNOS MRT STATION,EW7,208.6,389.0,4.7,4.7
Pine Cl (1),55 years,Keys available,,1.0,1.30894980492361,103.88275844673,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjRDMEFfMTc2ODUzNDIwMDAyOA,MOUNTBATTEN MRT STATION,CC7,311.0,504.0,6.1,6.0
Dakota Breeze,96 years,Keys available,1.0,,1.31044461981807,103.88785617098,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjRDMTVfMTc2ODUzNDIwMDAyOA,DAKOTA MRT STATION,CC8,249.1,535.0,6.4,6.4
Dakota Crest,99 years,4Q/2027,1.0,,1.30706487364853,103.885255092016,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjRDNTBfMTc2ODUzNDIwMDAzMA,MOUNTBATTEN MRT STATION,CC7,329.4,395.0,4.7,4.7
Pine Cl (2),74 years,Keys available,,1.0,1.30894980492361,103.88275844673,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjRSMTZBXzE3Njg1MzQyMDAwNDM,MOUNTBATTEN MRT STATION,CC7,311.0,504.0,6.1,6.0
Merpati Alcove - Plus,15 - 99 years,1Q/2029,,7.0,1.3271505380764,103.882134533128,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjFDNTVfMTc2ODU0NTAwMDAzNA,MATTAR MRT STATION,DT25,115.6,157.0,1.9,1.9
Ubi Grove,96 years,Keys available,,1.0,1.32785340061028,103.899491051803,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjZDMjlfMTc2ODUzNDIwMDAyNw,UBI MRT STATION,DT27,240.5,330.0,4.0,4.0
Macpherson Spring,94 years,Keys available,,1.0,1.32372337837321,103.889401456756,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjFDNDNCXzE3Njg1MzQyMDAwNDA,MACPHERSON MRT STATION,CC10,284.0,543.0,6.5,6.5
Dakota One,99 years,Keys available,1.0,3.0,1.30992678057824,103.887148289326,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjRDMTRfMTc2ODUzNDIwMDAyMg,DAKOTA MRT STATION,CC8,240.5,405.0,4.9,4.9
Macpherson Weave,99 years,Keys available,6.0,12.0,1.32768135174021,103.888524557513,Geylang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_R0xfTjFDMTNfMTc2ODUzNDIwMDAyNA,MACPHERSON MRT STATION,DT26,190.4,283.0,3.4,3.4
